Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-7.25,-0.3556,0.01144,0.00599,-0.1091,0.9687,0.0629
-7.0,-0.319,0.01107,0.00566,-0.1115,0.9682,0.0686
-6.75,-0.2892,0.01082,0.00545,-0.1123,0.9659,0.0743
-6.5,-0.2576,0.01053,0.00522,-0.1136,0.9637,0.0833
-6.25,-0.2234,0.01022,0.00498,-0.1154,0.9621,0.0949
-6.0,-0.1885,0.00992,0.00475,-0.1173,0.9609,0.1068
-5.75,-0.1534,0.00963,0.00452,-0.1192,0.9597,0.1201
-5.5,-0.1176,0.00931,0.00429,-0.1213,0.9586,0.1391
-5.25,-0.0798,0.00888,0.00403,-0.124,0.9578,0.1747
-5.0,-0.0402,0.00835,0.00374,-0.1273,0.9569,0.2297
-4.75,0.0025,0.00766,0.00339,-0.1315,0.9563,0.3146
-4.5,0.049,0.00678,0.00299,-0.1367,0.9561,0.4414
-4.25,0.0891,0.00631,0.00282,-0.1399,0.9552,0.5287
-4.0,0.122,0.00622,0.0028,-0.1409,0.953,0.5607
-3.75,0.1507,0.00616,0.00277,-0.1409,0.9486,0.5764
-3.5,0.1811,0.0061,0.00272,-0.1412,0.9446,0.5879
-3.25,0.2121,0.00606,0.00265,-0.1416,0.9411,0.5988
-3.0,0.2419,0.00604,0.00266,-0.1416,0.9368,0.6068
-2.75,0.2702,0.00599,0.0026,-0.1414,0.9295,0.6127
-2.5,0.2994,0.00591,0.00247,-0.1412,0.9205,0.6173
-2.25,0.3275,0.00586,0.00243,-0.1409,0.9101,0.6216
-2.0,0.3564,0.00591,0.00246,-0.1407,0.9006,0.6275
-1.75,0.386,0.00598,0.00247,-0.1407,0.89,0.6326
-1.5,0.4143,0.006,0.00254,-0.1405,0.8792,0.6383
-1.25,0.443,0.00609,0.00261,-0.1403,0.8684,0.6425
-1.0,0.4721,0.00613,0.00261,-0.1403,0.8526,0.6448
-0.75,0.5011,0.00618,0.00259,-0.1403,0.832,0.6463
-0.5,0.5288,0.00632,0.00258,-0.1399,0.797,0.648
-0.25,0.5539,0.00666,0.00264,-0.1391,0.734,0.6498
0.0,0.5747,0.0073,0.00279,-0.1375,0.6254,0.6521
0.25,0.5949,0.00812,0.00307,-0.1359,0.5009,0.6538
0.5,0.6172,0.00883,0.00333,-0.1349,0.3987,0.6553
0.75,0.6406,0.00946,0.00357,-0.134,0.3086,0.6567
1.0,0.6652,0.00999,0.0038,-0.1334,0.2403,0.6582
1.25,0.6909,0.01042,0.004,-0.133,0.1906,0.6596
1.5,0.7171,0.01081,0.00419,-0.1326,0.1537,0.6611
1.75,0.744,0.0111,0.00437,-0.1324,0.1296,0.6626
2.0,0.771,0.0114,0.00455,-0.1321,0.1108,0.6639
2.25,0.7981,0.01168,0.00473,-0.1319,0.0953,0.6651
2.5,0.8253,0.01194,0.00492,-0.1317,0.0831,0.6662
2.75,0.8527,0.01218,0.00509,-0.1315,0.0761,0.6672
3.0,0.88,0.01241,0.00528,-0.1313,0.0706,0.6683
3.25,0.9073,0.01259,0.00546,-0.1311,0.0673,0.67
3.5,0.9339,0.01286,0.0057,-0.1307,0.0635,0.6714
3.75,0.9608,0.01309,0.00593,-0.1304,0.0613,0.6727
4.0,0.9877,0.0133,0.00616,-0.1301,0.0595,0.674
4.25,1.014,0.01357,0.00642,-0.1296,0.0573,0.6754
4.5,1.0393,0.01396,0.00679,-0.129,0.0543,0.677
4.75,1.0658,0.01418,0.00704,-0.1286,0.053,0.6788
5.0,1.0923,0.01441,0.00728,-0.1282,0.0514,0.6805
5.25,1.1183,0.01468,0.00754,-0.1278,0.0497,0.682
5.5,1.1433,0.01506,0.0079,-0.1271,0.0476,0.6832
5.75,1.1684,0.01542,0.00827,-0.1265,0.0461,0.6844
6.0,1.1944,0.01565,0.00851,-0.126,0.045,0.6854
6.25,1.2202,0.01587,0.00875,-0.1255,0.0436,0.6875
6.5,1.2452,0.01615,0.00903,-0.1249,0.0421,0.6891
6.75,1.2679,0.01668,0.00956,-0.1238,0.0403,0.6906
7.0,1.2929,0.01693,0.00984,-0.1231,0.0396,0.692
7.25,1.3174,0.01722,0.01017,-0.1224,0.0387,0.6934
7.5,1.3415,0.01754,0.0105,-0.1215,0.0377,0.6949
7.75,1.365,0.01789,0.01086,-0.1206,0.0367,0.6964
8.0,1.3874,0.01834,0.01131,-0.1195,0.0356,0.6979
8.25,1.4077,0.01895,0.01194,-0.1181,0.0346,0.6994
8.5,1.4308,0.01927,0.0123,-0.1171,0.034,0.7008
8.75,1.4529,0.01965,0.0127,-0.116,0.0333,0.702
9.0,1.4743,0.02005,0.01314,-0.1147,0.0326,0.7033
9.25,1.4949,0.02046,0.01358,-0.1133,0.032,0.7052
9.5,1.5142,0.02092,0.01408,-0.1117,0.0314,0.7069
9.75,1.5314,0.0215,0.01468,-0.1097,0.0307,0.7084
10.0,1.5418,0.02231,0.01554,-0.1065,0.03,0.71
10.25,1.5564,0.02295,0.01625,-0.1041,0.0296,0.7116
10.5,1.5737,0.02347,0.01683,-0.1022,0.0293,0.7133
10.75,1.5907,0.02403,0.01745,-0.1003,0.0289,0.715
11.0,1.6067,0.02467,0.01814,-0.0983,0.0286,0.7167
11.25,1.6224,0.02532,0.01885,-0.0963,0.0282,0.7183
11.5,1.6372,0.02603,0.0196,-0.0942,0.0278,0.7197
11.75,1.652,0.02674,0.02037,-0.0922,0.0274,0.7217
12.0,1.6657,0.02751,0.0212,-0.09,0.027,0.7238
12.25,1.6784,0.02836,0.02212,-0.0878,0.0267,0.7256
12.5,1.6894,0.02935,0.02316,-0.0854,0.0263,0.7274
12.75,1.6968,0.0306,0.02448,-0.0827,0.0259,0.7292
13.0,1.6971,0.03245,0.02642,-0.0792,0.0254,0.7309
13.25,1.708,0.03349,0.02755,-0.0771,0.0253,0.7328
13.5,1.7187,0.03455,0.02869,-0.0751,0.0251,0.7346
13.75,1.728,0.03575,0.02998,-0.073,0.0249,0.7362
14.0,1.7362,0.03708,0.03139,-0.071,0.0247,0.7376
14.25,1.7432,0.03851,0.03292,-0.0689,0.0245,0.74
14.5,1.7489,0.04008,0.0346,-0.0669,0.0243,0.7419
14.75,1.7534,0.0418,0.03641,-0.0649,0.0241,0.7438
15.0,1.7574,0.04363,0.03834,-0.063,0.0239,0.7457
15.25,1.76,0.04564,0.04045,-0.0613,0.0237,0.7477
15.5,1.761,0.04786,0.04277,-0.0597,0.0236,0.7497
15.75,1.7615,0.05023,0.04524,-0.0583,0.0234,0.7516
16.0,1.761,0.05284,0.04794,-0.0571,0.0232,0.7533
16.25,1.7592,0.05573,0.05093,-0.0562,0.0231,0.7546
16.5,1.7562,0.0589,0.0542,-0.0557,0.023,0.7567
16.75,1.7513,0.06246,0.05789,-0.0555,0.0228,0.7585
17.0,1.7451,0.0664,0.06195,-0.0557,0.0227,0.7602
17.25,1.7366,0.07088,0.06654,-0.0564,0.0226,0.7619
17.5,1.7259,0.07589,0.07168,-0.0576,0.0225,0.7635
17.75,1.7128,0.0815,0.07742,-0.0595,0.0224,0.765
18.0,1.6966,0.08787,0.08394,-0.062,0.0223,0.7664
18.25,1.6779,0.09489,0.09111,-0.0652,0.0223,0.7676
18.5,1.6566,0.10258,0.09894,-0.069,0.0222,0.7687
18.75,1.6326,0.1109,0.10741,-0.0735,0.0221,0.7695
19.0,1.6078,0.11958,0.11625,-0.0784,0.0221,0.7702
19.25,1.5817,0.12873,0.12555,-0.084,0.022,0.7709
